time	signal
2/28/2023 13:00:00	-1
2/17/2023 21:00:00	1
2/9/2023 22:00:00	-1
1/9/2023 13:00:00	1
9/25/2022 21:00	-1
9/9/2022 13:00	1
8/17/2022 5:00	-1
7/24/2022 14:00	1
6/12/2022 5:00	-1
5/31/2022 13:00	1
5/20/2022 13:00	-1
5/17/2022 5:00	1
5/3/2022 21:00	-1
4/28/2022 21:00	1
4/6/2022 5:00	-1
3/17/2022 21:00	1
3/5/2022 13:00	-1
1/29/2022 5:00	1
1/18/2022 13:00	-1
1/11/2022 21:00	1
1/6/2022 13:00	-1
1/2/2022 13:00	1
12/16/2021 13:00	-1
12/7/2021 13:00	1
11/13/2021 21:00	-1
11/8/2021 13:00	1
11/1/2021 21:00	-1
10/5/2021 13:00	1
9/19/2021 13:00	-1
7/3/2021 21:00	1
6/18/2021 5:00	-1
6/2/2021 13:00	1
